task_id	variant	seed	run_name	config
0	A0_full	20260731	sc2_p2_ext_ablation_A0_full_s20260731	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A0_full_s20260731.yaml
1	A0_full	20260801	sc2_p2_ext_ablation_A0_full_s20260801	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A0_full_s20260801.yaml
2	A1_no_routed_attention	20260728	sc2_p2_ext_ablation_A1_no_routed_attention_s20260728	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A1_no_routed_attention_s20260728.yaml
3	A1_no_routed_attention	20260729	sc2_p2_ext_ablation_A1_no_routed_attention_s20260729	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A1_no_routed_attention_s20260729.yaml
4	A1_no_routed_attention	20260730	sc2_p2_ext_ablation_A1_no_routed_attention_s20260730	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A1_no_routed_attention_s20260730.yaml
5	A1_no_routed_attention	20260731	sc2_p2_ext_ablation_A1_no_routed_attention_s20260731	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A1_no_routed_attention_s20260731.yaml
6	A1_no_routed_attention	20260801	sc2_p2_ext_ablation_A1_no_routed_attention_s20260801	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A1_no_routed_attention_s20260801.yaml
7	A2_unidirectional_mamba	20260728	sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260728	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260728.yaml
8	A2_unidirectional_mamba	20260729	sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260729	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260729.yaml
9	A2_unidirectional_mamba	20260730	sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260730	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260730.yaml
10	A2_unidirectional_mamba	20260731	sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260731	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260731.yaml
11	A2_unidirectional_mamba	20260801	sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260801	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A2_unidirectional_mamba_s20260801.yaml
12	A3_no_expected_zero	20260728	sc2_p2_ext_ablation_A3_no_expected_zero_s20260728	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A3_no_expected_zero_s20260728.yaml
13	A3_no_expected_zero	20260729	sc2_p2_ext_ablation_A3_no_expected_zero_s20260729	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A3_no_expected_zero_s20260729.yaml
14	A3_no_expected_zero	20260730	sc2_p2_ext_ablation_A3_no_expected_zero_s20260730	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A3_no_expected_zero_s20260730.yaml
15	A3_no_expected_zero	20260731	sc2_p2_ext_ablation_A3_no_expected_zero_s20260731	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A3_no_expected_zero_s20260731.yaml
16	A3_no_expected_zero	20260801	sc2_p2_ext_ablation_A3_no_expected_zero_s20260801	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A3_no_expected_zero_s20260801.yaml
17	A4_no_gate_loss	20260728	sc2_p2_ext_ablation_A4_no_gate_loss_s20260728	/home/3159436/sc2/code/configs/train/extension_2026/ablation5_v1/sc2_p2_ext_ablation_A4_no_gate_loss_s20260728.yaml
